"filename", "language", "JavaScript", "HTTP", "JSON", "Markdown", "HTML", "PHP", "CSS", "comment", "blank", "total"
"c:\Users\sgsrb\Desktop\plei TFG\public\backend\getUsuarios.php", "PHP", 0, 0, 0, 0, 0, 9, 0, 2, 5, 16
"c:\Users\sgsrb\Desktop\plei TFG\public\backend\login.php", "PHP", 0, 0, 0, 0, 0, 20, 0, 2, 7, 29
"c:\Users\sgsrb\Desktop\plei TFG\public\backend\updateEvento.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\sgsrb\Desktop\plei TFG\public\backend\updateUsuario.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 2, 7, 23
"c:\Users\sgsrb\Desktop\plei TFG\public\css\estilos.css", "CSS", 0, 0, 0, 0, 0, 0, 308, 7, 45, 360
"c:\Users\sgsrb\Desktop\plei TFG\public\index.html", "HTML", 0, 0, 0, 0, 594, 0, 0, 23, 44, 661
"c:\Users\sgsrb\Desktop\plei TFG\public\js\ajax.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 39, 36, 189
"c:\Users\sgsrb\Desktop\plei TFG\public\js\codigo.js", "JavaScript", 385, 0, 0, 0, 0, 0, 0, 17, 96, 498
"c:\Users\sgsrb\Desktop\plei TFG\public\js\objetos.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 18, 32, 187
"c:\Users\sgsrb\Desktop\plei TFG\request\componenteRequest.rest", "HTTP", 0, 26, 0, 0, 0, 0, 0, 5, 14, 45
"c:\Users\sgsrb\Desktop\plei TFG\routes\asistenciaRoutes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 4, 6, 18
"c:\Users\sgsrb\Desktop\plei TFG\routes\eventoRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\sgsrb\Desktop\plei TFG\routes\localizacionRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 5, 7, 21
"c:\Users\sgsrb\Desktop\plei TFG\routes\organizadorFavoritoRoutes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 4, 6, 18
"c:\Users\sgsrb\Desktop\plei TFG\routes\reporteRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 5, 7, 21
"c:\Users\sgsrb\Desktop\plei TFG\routes\usuarioRoutes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\sgsrb\Desktop\plei TFG\utils\logger.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\sgsrb\Desktop\plei TFG\utils\respuesta.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 3, 19
"Total", "-", 1555, 26, 1620, 157, 594, 249, 308, 232, 546, 5287
